"Step","cosmic-field-350 - immediate_reward","cosmic-field-350 - immediate_reward__MIN","cosmic-field-350 - immediate_reward__MAX"
"143974","0","0","0"
"144158","0","0","0"
"144314","0","0","0"
"144437","0","0","0"
"144598","0","0","0"
"144834","0","0","0"
"144889","0","0","0"
"144891","0","0","0"
"144965","0","0","0"
"145296","0","0","0"
"145319","1","1","1"
"145443","0","0","0"
"145457","0","0","0"
"145663","0","0","0"
"145876","0","0","0"
"145987","1","1","1"
"146112","0","0","0"
"146149","1","1","1"
"146205","0","0","0"
"146247","0","0","0"
"146711","2","2","2"
"146725","0","0","0"
"146729","0","0","0"
"146755","0","0","0"
"147352","0","0","0"
"147434","0","0","0"
"147785","1","1","1"
"148055","0","0","0"
"148197","0","0","0"
"148211","0","0","0"
"148271","0","0","0"
"148697","1","1","1"
"148989","0","0","0"
"149019","1","1","1"
"149209","1","1","1"
"149360","0","0","0"
"149493","0","0","0"
"149509","0","0","0"
"149565","0","0","0"
"150052","0","0","0"
"150541","0","0","0"
"150608","0","0","0"
"150612","0","0","0"
"151151","0","0","0"
"151276","0","0","0"
"151352","0","0","0"
"151589","0","0","0"
"151698","0","0","0"
"151813","1","1","1"
"151857","1","1","1"
"151875","0","0","0"
"152195","0","0","0"
"152377","1","1","1"
"152548","1","1","1"
"152865","0","0","0"
"153032","0","0","0"
"153158","0","0","0"
"153301","0","0","0"
"153370","0","0","0"
"153421","1","1","1"
"153636","0","0","0"
"153709","0","0","0"
"153715","1","1","1"
"153759","0","0","0"
"153807","0","0","0"
"153858","0","0","0"
"154130","0","0","0"
"154152","0","0","0"
"154249","0","0","0"
"154405","2","2","2"
"154794","0","0","0"
"155071","0","0","0"
"155113","0","0","0"
"155238","0","0","0"
"155393","0","0","0"
"155502","0","0","0"
"155559","0","0","0"
"155597","0","0","0"
"155731","0","0","0"
"155771","0","0","0"
"155797","0","0","0"
"155858","0","0","0"
"155973","0","0","0"
"155985","0","0","0"
"156104","0","0","0"
"156152","0","0","0"
"156391","0","0","0"
"156427","0","0","0"
"156508","1","1","1"
"156722","0","0","0"
"156859","0","0","0"
"157753","0","0","0"
"157787","0","0","0"
"157833","0","0","0"
"158013","1","1","1"
"158073","0","0","0"
"158180","0","0","0"
"158345","0","0","0"
"158357","0","0","0"
"158696","0","0","0"
"158853","0","0","0"
"159626","0","0","0"
"159918","0","0","0"
"160457","0","0","0"
"161111","1","1","1"
"161266","0","0","0"
"161591","0","0","0"
"161744","0","0","0"
"161946","0","0","0"
"162008","0","0","0"
"162232","0","0","0"
"162384","1","1","1"
"162602","0","0","0"
"162693","1","1","1"
"162954","0","0","0"
"163170","1","1","1"
"163264","0","0","0"
"163357","0","0","0"
"163391","0","0","0"
"163573","0","0","0"
"163775","1","1","1"
"163785","1","1","1"
"163997","0","0","0"
"164213","0","0","0"
"164321","0","0","0"
"164460","0","0","0"
"164873","0","0","0"
"165246","0","0","0"
"165432","4","4","4"
"165585","0","0","0"
"165963","0","0","0"
"166030","1","1","1"
"166159","0","0","0"
"166167","0","0","0"
"166254","0","0","0"
"166286","0","0","0"
"166339","1","1","1"
"166484","0","0","0"
"166563","0","0","0"
"166793","0","0","0"
"166898","0","0","0"
"167406","0","0","0"
"167776","0","0","0"
"167843","0","0","0"
"168030","0","0","0"
"168121","2","2","2"
"168248","0","0","0"
"168407","0","0","0"
"168524","0","0","0"
"168927","0","0","0"
"168959","0","0","0"
"169030","0","0","0"
"169050","0","0","0"
"169491","0","0","0"
"169513","0","0","0"
"170049","0","0","0"
"170229","0","0","0"
"170332","0","0","0"
"170799","0","0","0"
"170970","1","1","1"
"171129","0","0","0"
"171157","0","0","0"
"171224","0","0","0"
"171458","0","0","0"
"171688","2","2","2"
"171780","0","0","0"
"171885","0","0","0"
"171897","0","0","0"
"172030","1","1","1"
"172064","1","1","1"
"172109","0","0","0"
"172143","0","0","0"
"172252","0","0","0"
"172272","0","0","0"
"172427","0","0","0"
"172465","0","0","0"
"172885","0","0","0"
"173417","0","0","0"
"173456","0","0","0"
"173474","0","0","0"
"173664","0","0","0"
"174019","0","0","0"
"174087","0","0","0"
"174115","0","0","0"
"174121","0","0","0"
"174230","0","0","0"
"174517","0","0","0"
"174680","0","0","0"
"174736","0","0","0"
"174974","1","1","1"
"174984","1","1","1"
"175158","0","0","0"
"175228","0","0","0"
"175240","0","0","0"
"175452","0","0","0"
"175520","0","0","0"
"175830","0","0","0"
"175921","0","0","0"
"176100","0","0","0"
"176324","0","0","0"
"176342","0","0","0"
"176386","0","0","0"
"176455","0","0","0"
"176697","0","0","0"
"176832","0","0","0"
"176947","1","1","1"
"176961","0","0","0"
"176969","0","0","0"
"176983","0","0","0"
"177278","0","0","0"
"177330","0","0","0"
"177377","1","1","1"
"177431","0","0","0"
"177435","0","0","0"
"177454","0","0","0"
"177655","0","0","0"
"177716","0","0","0"
"177774","0","0","0"
"177778","0","0","0"
"177809","0","0","0"
"178051","0","0","0"
"178280","0","0","0"
"179322","1","1","1"
"179358","0","0","0"
"179648","0","0","0"
"179874","0","0","0"
"180140","0","0","0"
"180152","0","0","0"
"180271","0","0","0"
"180283","0","0","0"
"180534","0","0","0"
"180574","0","0","0"
"180772","0","0","0"
"181015","0","0","0"
"181032","0","0","0"
"181159","1","1","1"
"181167","0","0","0"
"181251","0","0","0"
"182270","0","0","0"
"182300","0","0","0"
"182349","0","0","0"
"182555","0","0","0"
"182666","0","0","0"
"182886","1","1","1"
"182983","1","1","1"
"183297","0","0","0"
"183426","0","0","0"
"183779","0","0","0"
"183999","0","0","0"
"184053","0","0","0"
"184199","0","0","0"
"184219","1","1","1"
"184354","0","0","0"
"184670","0","0","0"
"184868","0","0","0"
"185309","0","0","0"
"185390","0","0","0"
"185655","0","0","0"
"185890","0","0","0"
"185955","1","1","1"
"186110","0","0","0"
"186180","0","0","0"
"186261","0","0","0"
"186273","0","0","0"
"186398","0","0","0"
"186570","0","0","0"
"186624","0","0","0"
"186689","0","0","0"
"186733","0","0","0"
"186757","0","0","0"
"187167","0","0","0"
"187316","1","1","1"
"187397","0","0","0"
"187747","2","2","2"
"187890","0","0","0"
"188047","0","0","0"
"188114","0","0","0"
"188526","0","0","0"
"188645","0","0","0"
"188833","0","0","0"
"188837","0","0","0"
"188897","0","0","0"
"188940","0","0","0"
"189396","0","0","0"
"190058","0","0","0"
"190070","0","0","0"
"190108","0","0","0"
"190235","0","0","0"
"190541","0","0","0"
"190595","0","0","0"
"190625","0","0","0"
"190696","0","0","0"
"190706","0","0","0"
"190981","2","2","2"
"190983","0","0","0"
"191174","0","0","0"
"191293","0","0","0"
"191309","0","0","0"
"191333","1","1","1"
"191337","1","1","1"
"191361","0","0","0"
"191787","0","0","0"
"192113","0","0","0"
"192373","0","0","0"
"192484","0","0","0"
"192504","0","0","0"
"192542","0","0","0"
"192858","0","0","0"
"193253","2","2","2"
"193307","1","1","1"
"193486","0","0","0"
"193623","0","0","0"
"193675","0","0","0"
"193927","0","0","0"
"194052","0","0","0"
"194312","0","0","0"
"194607","0","0","0"
"194773","0","0","0"
"194980","0","0","0"
"195047","0","0","0"
"195053","2","2","2"
"195168","0","0","0"
"195222","0","0","0"
"195543","0","0","0"
"195684","1","1","1"
"196124","1","1","1"
"196172","0","0","0"
"196176","0","0","0"
"196464","1","1","1"
"196585","0","0","0"
"197006","1","1","1"
"197156","0","0","0"
"197289","0","0","0"
"197550","0","0","0"
"197564","0","0","0"
"197642","0","0","0"
"197737","0","0","0"
"197844","0","0","0"
"197941","0","0","0"
"198104","0","0","0"
"198223","1","1","1"
"198529","0","0","0"
"198804","0","0","0"
"198856","0","0","0"
"199017","0","0","0"
"199083","0","0","0"
"199275","0","0","0"
"199338","0","0","0"
"199344","0","0","0"
"199376","0","0","0"
"199557","1","1","1"
"199811","0","0","0"
"199974","1","1","1"
