"Step","kind-music-2 - immediate_reward","kind-music-2 - immediate_reward__MIN","kind-music-2 - immediate_reward__MAX"
"193550","1","1","1"
"194013","0","0","0"
"194019","1","1","1"
"194172","0","0","0"
"194361","0","0","0"
"194781","0","0","0"
"194785","0","0","0"
"195003","1","1","1"
"195162","0","0","0"
"195213","1","1","1"
"195241","0","0","0"
"195334","0","0","0"
"195770","1","1","1"
"195786","0","0","0"
"195820","0","0","0"
"196054","0","0","0"
"196080","0","0","0"
"196120","1","1","1"
"196241","2","2","2"
"196575","0","0","0"
"196637","0","0","0"
"197084","0","0","0"
"197347","0","0","0"
"197557","1","1","1"
"197635","0","0","0"
"197637","0","0","0"
"197663","0","0","0"
"197726","0","0","0"
"198318","0","0","0"
"198509","0","0","0"
"198684","0","0","0"
"198899","0","0","0"
"198927","0","0","0"
"199221","0","0","0"
"199402","0","0","0"
"199523","0","0","0"
"199775","0","0","0"
"199825","0","0","0"
"200143","0","0","0"
"200182","0","0","0"
"200495","0","0","0"
"200662","1","1","1"
"200714","0","0","0"
"200726","1","1","1"
"200835","0","0","0"
"200951","0","0","0"
"201022","1","1","1"
"201235","0","0","0"
"201237","0","0","0"
"201487","0","0","0"
"201699","0","0","0"
"202037","0","0","0"
"202138","0","0","0"
"202176","1","1","1"
"202502","0","0","0"
"202645","0","0","0"
"202657","0","0","0"
"202706","0","0","0"
"203042","0","0","0"
"203122","0","0","0"
"203463","0","0","0"
"203626","0","0","0"
